IncLevel1	IncLevel2	IncLevelDifference
0.464,0.536,0.628,0.469	0.611,0.574,0.585,0.551	-0.056
0.637,0.658,0.653,0.611	0.739,0.741,0.68,0.69	-0.073
0.393,0.346,0.283,0.325	0.342,0.337,0.339,0.324	0.001
0.117,0.107,0.103,0.111	0.151,0.078,0.062,0.085	0.015
0.533,0.482,0.624,0.516	0.592,0.636,0.609,0.55	-0.058
0.0,NA,0.0,0.396	0.304,NA,NA,0.0	-0.02
0.926,1.0,0.969,0.913	1.0,0.984,1.0,1.0	-0.044
0.14,0.231,0.283,0.159	0.262,0.282,0.319,0.245	-0.074
1.0,1.0,1.0,1.0	1.0,0.922,1.0,0.955	0.031
0.136,0.158,0.119,0.074	0.123,0.239,0.214,0.105	-0.048
0.2,0.371,0.486,0.211	0.259,0.313,0.269,0.37	0.014
0.719,0.741,0.744,0.704	0.893,0.785,0.807,0.778	-0.089
0.068,0.058,0.078,0.04	0.07,0.105,0.073,0.076	-0.02
0.251,0.155,0.259,0.18	0.234,0.228,0.256,0.286	-0.04
0.019,0.014,0.021,0.017	0.025,0.02,0.027,0.027	-0.007
0.978,1.0,0.95,1.0	0.98,1.0,0.967,0.937	0.011
0.025,0.05,0.02,0.019	0.019,0.041,0.063,0.033	-0.01
1.0,0.667,1.0,0.333	1.0,1.0,1.0,1.0	-0.25
0.054,0.0,0.177,0.0	0.061,0.0,0.0,0.0	0.042
0.059,0.0,0.009,0.0	0.011,0.01,0.009,0.019	0.005
0.194,0.197,0.175,0.236	0.219,0.199,0.202,0.265	-0.021
0.0,0.0,0.007,0.003	0.002,0.005,0.004,0.0	-0.0
0.007,0.02,0.021,0.004	0.02,0.025,0.036,0.018	-0.012
0.044,0.124,0.154,0.148	0.079,0.126,0.148,0.145	-0.007
0.023,0.054,0.03,0.007	0.012,0.022,0.042,0.022	0.004
0.082,0.082,0.128,0.05	0.113,0.129,0.146,0.125	-0.043
0.007,0.014,0.028,0.006	0.009,0.035,0.005,0.021	-0.004
0.023,0.018,0.008,0.014	0.025,0.018,0.029,0.027	-0.009
0.039,0.015,0.042,0.031	0.04,0.032,0.036,0.06	-0.01
0.632,0.382,0.573,0.359	0.609,0.574,0.494,0.491	-0.055
0.13,0.13,0.181,0.122	0.155,0.214,0.22,0.169	-0.049
1.0,0.797,1.0,1.0	1.0,0.821,1.0,1.0	-0.006
0.643,0.615,0.5,0.677	0.854,0.836,0.825,0.794	-0.218
0.026,0.024,0.021,0.012	0.02,0.029,0.019,0.021	-0.002
0.065,0.09,0.077,0.053	0.069,0.096,0.079,0.076	-0.009
0.07,0.05,0.106,0.077	0.074,0.105,0.1,0.092	-0.017
0.033,0.037,0.049,0.049	0.018,0.06,0.049,0.045	-0.001
0.02,0.019,0.022,0.026	0.013,0.033,0.025,0.025	-0.002
