IncLevel1	IncLevel2	IncLevelDifference
0.031,0.011,0.019,0.008	0.056,0.014,0.0,0.022	-0.006
0.02,0.029,0.032,0.015	0.054,0.031,0.012,0.033	-0.009
0.333,1.0,1.0,1.0	0.846,1.0,1.0,0.833	-0.087
0.988,0.987,0.978,0.973	0.971,0.976,1.0,0.962	0.004
0.008,0.01,0.006,0.0	0.024,0.008,0.0,0.0	-0.002
0.893,0.867,0.874,0.855	0.91,0.888,0.891,0.856	-0.014
0.87,0.895,0.918,0.819	0.893,0.931,0.902,0.881	-0.026
0.973,0.95,0.939,0.956	0.958,0.947,0.93,0.97	0.003
0.98,0.94,0.924,0.93	0.932,0.966,0.936,0.964	-0.006
0.737,0.701,0.543,0.736	0.669,0.652,0.601,0.579	0.054
0.032,0.042,0.036,0.027	0.022,0.019,0.01,0.023	0.016
0.311,0.0,NA,0.0	0.0,NA,NA,0.0	0.104
0.0,0.0,0.042,0.081	0.04,0.048,0.129,0.026	-0.03
0.013,0.081,0.082,0.086	0.036,0.07,0.029,0.035	0.023
0.761,0.768,0.765,0.771	0.776,0.766,0.771,0.776	-0.006
1.0,0.985,0.993,1.0	1.0,0.966,0.988,1.0	0.006
0.0,0.005,0.001,0.009	0.009,0.007,0.01,0.011	-0.006
0.987,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.003
0.91,0.903,0.894,0.85	0.907,0.911,0.916,0.912	-0.022
0.083,0.0,0.044,0.044	0.096,0.06,0.0,0.096	-0.02
0.01,0.0,0.007,0.01	0.01,0.008,0.0,0.009	0.0
NA,1.0,NA,NA	NA,NA,NA,0.476	0.524
0.019,0.009,0.0,0.005	0.009,0.011,0.007,0.0	0.001
0.0,0.0,0.0,0.0	0.0,0.0,0.003,0.0	-0.001
0.15,0.156,0.13,0.128	0.14,0.122,0.127,0.109	0.017
1.0,0.529,0.861,0.905	0.861,1.0,1.0,1.0	-0.141
1.0,0.797,0.818,0.628	1.0,1.0,1.0,1.0	-0.189
1.0,1.0,1.0,1.0	0.849,1.0,1.0,1.0	0.038
1.0,1.0,1.0,1.0	0.849,1.0,1.0,1.0	0.038
0.003,0.006,0.025,0.012	0.008,0.011,0.016,0.017	-0.002
0.0,1.0,1.0,0.762	0.828,1.0,NA,0.391	-0.049
0.338,0.441,0.386,0.187	0.499,0.275,0.453,0.155	-0.008
0.235,0.0,0.365,0.133	0.315,0.605,0.0,0.0	-0.047
0.0,NA,0.0,1.0	0.0,0.423,0.0,0.0	0.228
0.0,NA,0.0,1.0	0.0,0.333,0.0,0.0	0.25
0.011,0.018,0.017,0.014	0.003,0.011,0.011,0.016	0.005
0.005,0.0,0.051,0.029	0.009,0.016,0.023,0.004	0.008
0.105,0.139,0.109,0.079	0.099,0.13,0.086,0.1	0.004
0.935,0.966,0.912,0.962	0.956,0.96,0.934,0.897	0.007
0.392,0.315,0.348,0.277	0.492,0.346,0.403,0.301	-0.052
1.0,1.0,1.0,1.0	1.0,0.994,1.0,1.0	0.002
1.0,1.0,0.999,1.0	1.0,1.0,1.0,1.0	-0.0
0.067,0.189,0.237,0.227	0.215,0.318,0.206,0.318	-0.084
0.0,NA,0.077,0.0	1.0,0.0,0.429,0.0	-0.332
0.183,0.25,0.175,0.169	0.293,0.308,0.095,0.102	-0.005
0.08,0.088,0.116,0.068	0.123,0.12,0.094,0.14	-0.031
0.687,0.695,0.765,0.726	0.721,0.779,0.792,0.651	-0.017
1.0,1.0,1.0,1.0	0.401,1.0,0.572,1.0	0.257
1.0,1.0,1.0,1.0	1.0,1.0,0.401,1.0	0.15
1.0,1.0,1.0,1.0	1.0,0.996,1.0,1.0	0.001
0.919,0.975,0.888,0.863	0.953,0.945,0.949,0.873	-0.019
0.0,0.077,0.0,0.074	0.0,0.053,0.053,0.081	-0.009
0.002,0.004,0.005,0.004	0.004,0.003,0.004,0.003	0.0
0.996,0.998,0.999,0.998	0.998,0.999,1.0,0.998	-0.001
1.0,1.0,1.0,1.0	1.0,1.0,0.776,1.0	0.056
0.97,1.0,0.982,0.985	0.994,0.949,0.974,0.959	0.015
0.351,0.435,0.331,0.372	0.204,0.358,0.371,0.36	0.049
0.936,1.0,0.931,0.965	0.935,0.971,0.95,0.976	0.0
1.0,1.0,0.604,1.0	0.816,0.844,0.909,0.915	0.03
0.333,0.6,0.758,0.353	0.714,0.561,0.316,0.767	-0.079
0.031,0.04,0.023,0.05	0.029,0.039,0.022,0.042	0.003
1.0,1.0,0.661,1.0	0.0,NA,1.0,1.0	0.249
1.0,1.0,0.778,1.0	1.0,1.0,1.0,1.0	-0.055
0.0,0.0,0.013,0.0	0.0,0.0,0.022,0.008	-0.004
NA,1.0,1.0,1.0	1.0,0.873,1.0,0.76	0.092
0.111,0.1,0.026,0.059	0.042,0.12,0.125,0.048	-0.01
0.967,0.986,0.992,0.997	0.982,0.994,0.959,0.991	0.004
0.544,0.518,0.601,0.522	0.551,0.481,0.593,0.542	0.005
0.863,0.832,0.884,0.946	0.922,0.851,0.922,0.927	-0.024
1.0,1.0,0.989,1.0	0.978,0.93,0.97,0.966	0.036
0.129,0.113,0.11,0.09	0.18,0.124,0.212,0.185	-0.065
1.0,0.989,1.0,0.997	0.994,0.992,0.991,0.997	0.003
0.021,0.041,0.057,0.025	0.072,0.09,0.05,0.069	-0.034
0.007,0.007,0.0,0.006	0.006,0.0,0.006,0.023	-0.004
0.029,0.071,0.081,0.02	0.023,0.02,0.024,0.047	0.022
0.0,0.067,0.0,0.0	0.0,0.0,0.0,0.0	0.017
0.055,0.011,0.029,0.052	0.048,0.06,0.067,0.101	-0.032
1.0,1.0,1.0,1.0	0.947,0.975,1.0,1.0	0.02
0.33,0.339,0.383,0.363	0.298,0.324,0.317,0.319	0.039
1.0,1.0,1.0,1.0	0.989,1.0,1.0,1.0	0.003
0.7,0.857,0.857,0.769	0.912,0.881,0.823,0.829	-0.066
0.417,0.384,0.318,0.335	0.423,0.342,0.41,0.349	-0.018
0.176,0.238,0.167,0.286	0.2,0.067,0.364,0.429	-0.048
1.0,1.0,1.0,0.918	1.0,1.0,1.0,1.0	-0.02
1.0,0.981,1.0,1.0	1.0,0.995,0.995,0.994	-0.001
0.253,0.34,0.345,0.168	0.309,0.379,0.299,0.322	-0.051
0.965,1.0,0.945,0.898	0.961,0.94,0.981,0.909	0.004
0.978,1.0,0.96,0.948	0.974,0.952,0.987,0.936	0.009
0.0,1.0,1.0,1.0	0.0,1.0,1.0,1.0	0.0
1.0,1.0,0.0,1.0	NA,1.0,NA,NA	-0.25
NA,1.0,0.307,NA	NA,1.0,NA,NA	-0.347
0.975,0.986,0.97,0.965	0.968,0.931,0.97,0.981	0.012
0.979,1.0,1.0,0.98	1.0,1.0,0.982,0.976	0.0
1.0,1.0,1.0,1.0	1.0,0.991,1.0,0.99	0.005
0.107,0.229,0.105,0.106	0.112,0.191,0.206,0.163	-0.031
0.196,0.081,0.178,0.112	0.475,0.186,0.327,0.345	-0.191
0.944,0.959,0.963,0.955	0.988,0.966,0.978,0.955	-0.016
0.007,0.0,0.019,0.005	0.023,0.019,0.014,0.018	-0.011
0.04,0.06,0.033,0.037	0.053,0.073,0.071,0.048	-0.019
0.989,0.989,0.994,0.983	1.0,1.0,1.0,0.994	-0.01
NA,0.0,NA,0.0	1.0,0.0,NA,NA	-0.5
0.952,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.012
0.435,0.616,0.373,0.313	0.387,0.337,0.292,0.443	0.069
0.843,0.669,0.732,0.703	0.584,0.579,0.625,0.487	0.168
0.875,0.572,0.84,0.838	0.716,0.744,0.823,0.543	0.075
1.0,1.0,0.958,1.0	1.0,1.0,1.0,1.0	-0.01
0.951,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.012
0.945,0.987,0.918,0.943	0.92,0.964,0.93,0.92	0.015
0.026,0.031,0.026,0.026	0.033,0.022,0.03,0.021	0.001
0.911,0.903,0.822,0.872	0.88,0.895,0.875,0.873	-0.004
1.0,1.0,1.0,1.0	0.969,1.0,1.0,1.0	0.008
0.982,0.975,1.0,0.984	1.0,0.987,1.0,1.0	-0.012
0.0,0.0,0.0,0.022	0.0,0.0,0.0,0.0	0.005
1.0,1.0,1.0,1.0	0.555,0.818,0.871,1.0	0.189
0.885,0.887,0.896,0.913	0.937,0.904,0.905,0.903	-0.017
1.0,1.0,0.481,1.0	0.735,1.0,0.649,1.0	0.024
0.6,0.579,0.577,0.597	0.575,0.589,0.599,0.577	0.003
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.6	0.1
0.994,0.993,0.996,0.994	0.989,0.997,0.996,0.995	0.0
0.0,0.139,0.356,0.0	0.0,0.0,0.0,0.075	0.105
0.158,0.235,0.157,0.115	0.241,0.237,0.294,0.265	-0.093
0.949,0.965,0.954,0.979	0.949,0.966,0.951,0.961	0.005
0.987,0.989,0.976,0.995	0.991,0.996,0.983,0.991	-0.004
1.0,NA,1.0,NA	NA,0.0,0.0,0.482	0.839
1.0,NA,0.318,0.0	0.0,0.0,0.0,1.0	0.189
1.0,0.976,0.987,0.996	0.996,0.985,0.995,0.99	-0.002
0.134,0.082,0.083,0.07	0.112,0.1,0.091,0.058	0.002
0.854,0.868,0.849,0.833	0.855,0.866,0.856,0.857	-0.008
0.081,0.029,0.125,0.172	0.053,0.143,0.077,0.25	-0.029
0.245,0.065,0.0,0.359	0.245,0.214,0.4,0.132	-0.08
1.0,0.899,1.0,1.0	1.0,0.968,0.976,0.943	0.003
0.922,0.957,0.967,0.939	0.954,0.941,0.952,0.963	-0.006
NA,0.333,0.6,0.714	1.0,0.0,0.4,NA	0.082
0.94,0.928,0.927,0.957	0.896,0.864,0.849,0.908	0.059
0.009,0.0,0.017,0.011	0.017,0.0,0.009,0.011	0.0
NA,NA,1.0,NA	NA,0.0,NA,NA	1.0
1.0,1.0,1.0,0.73	0.73,1.0,NA,NA	0.068
0.818,0.636,1.0,0.524	0.6,0.556,1.0,0.556	0.066
0.818,1.0,0.857,0.667	0.429,0.4,0.556,0.429	0.382
0.45,1.0,0.766,0.656	0.29,0.353,0.551,0.45	0.307
0.011,0.013,0.0,0.01	0.004,0.004,0.004,0.004	0.005
1.0,1.0,1.0,0.992	1.0,1.0,1.0,0.989	0.001
0.597,0.454,0.479,0.371	0.519,0.561,0.584,0.493	-0.064
0.517,0.532,0.44,0.428	0.696,0.561,0.536,0.521	-0.099
0.51,0.365,0.521,0.41	0.383,0.411,0.333,0.414	0.066
0.718,0.845,0.751,0.865	0.681,0.765,0.83,0.726	0.044
0.0,0.013,0.021,0.0	0.014,0.01,0.0,0.0	0.003
0.142,0.127,0.207,0.036	0.249,0.084,0.08,0.0	0.025
0.925,1.0,0.992,0.959	0.945,0.981,0.948,0.948	0.014
1.0,0.807,0.947,1.0	1.0,0.794,0.832,0.826	0.076
0.797,0.862,0.82,0.88	0.816,0.854,0.882,0.811	-0.001
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.838	0.04
0.797,0.805,0.772,0.808	0.849,0.804,0.764,0.811	-0.011
1.0,0.99,0.993,1.0	1.0,0.974,1.0,1.0	0.002
0.132,0.0,0.0,0.0	0.041,0.106,0.041,0.061	-0.029
0.988,0.963,0.963,0.977	0.987,0.971,0.965,0.933	0.009
0.848,0.744,0.871,0.856	0.846,0.859,0.841,0.978	-0.051
0.591,0.53,0.579,0.549	0.505,0.601,0.526,0.574	0.011
1.0,1.0,1.0,0.999	0.999,1.0,0.998,0.998	0.001
0.633,0.66,0.635,0.668	0.625,0.643,0.649,0.616	0.016
0.032,0.004,0.01,0.002	0.012,0.019,0.011,0.007	-0.0
0.946,0.82,0.877,0.925	0.927,0.824,0.862,1.0	-0.011
0.649,NA,0.0,NA	0.209,0.735,0.0,0.316	0.01
0.971,0.75,0.754,0.766	0.738,0.693,0.796,0.758	0.064
0.084,0.194,0.217,0.291	0.177,0.221,0.135,0.268	-0.004
0.38,0.52,0.469,0.396	0.417,0.423,0.534,0.474	-0.021
0.895,1.0,1.0,0.952	0.952,0.919,0.919,1.0	0.014
1.0,1.0,1.0,1.0	1.0,1.0,0.714,0.857	0.107
0.0,0.0,0.0,0.0	0.059,0.05,0.03,0.081	-0.055
0.893,0.935,0.895,0.978	0.953,0.968,0.913,0.951	-0.021
0.241,1.0,0.656,0.0	0.0,0.0,0.353,0.656	0.222
