ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
31404	107,142,145,113	0,0,1,0	108,156,138,129	0,0,0,0	195	149
31405	22,28,42,27	1,0,2,0	26,41,26,38	0,1,2,4	195	149
31406	126,207,204,151	0,0,8,0	158,213,182,154	0,0,0,0	298	149
31407	30,36,54,16	0,6,10,7	31,30,41,35	3,16,6,5	271	149
31409	16,27,27,12	1,0,0,0	18,27,20,8	0,0,1,0	272	149
31411	34,47,53,60	0,0,0,0	88,60,73,54	0,0,1,1	283	149
31412	19,25,33,42	0,0,0,0	51,41,42,28	1,2,1,0	283	149
31414	11,15,18,7	0,0,2,0	30,11,21,19	0,0,0,0	231	149
31415	23,19,31,31	0,0,0,0	36,16,30,25	1,2,1,0	255	149
31416	40,41,54,49	0,0,2,0	73,35,60,48	0,0,0,0	255	149
31417	62,57,64,59	0,0,0,0	67,73,75,45	1,0,2,1	235	149
31418	99,109,160,152	0,2,0,0	109,92,75,100	0,0,0,2	298	149
31419	207,213,350,279	0,2,0,0	198,189,199,184	0,0,0,2	298	149
31420	92,98,164,141	0,2,0,0	103,91,78,94	0,0,0,2	298	149
31421	9,4,10,22	0,0,0,1	5,6,6,8	0,0,0,0	298	149
31422	19,22,35,55	0,0,0,1	25,19,19,14	0,0,0,0	298	149
31423	0,1,0,0	7,6,11,10	0,0,1,0	15,8,7,5	242	149
31424	2,2,4,1	0,0,0,0	1,2,7,1	0,0,1,0	262	149
31425	424,547,639,581	12,6,7,9	549,514,544,498	20,10,4,13	256	149
31427	1860,2161,2849,2681	0,0,4,0	2288,2616,2371,2294	0,0,0,0	259	149
31428	1323,1341,2020,1861	0,0,0,2	1543,1806,1679,1679	0,0,0,0	225	149
31429	838,756,1218,995	0,1,0,0	929,1105,1015,970	0,0,0,0	298	149
31430	1289,1246,1856,1531	0,0,0,0	1428,1562,1555,1483	0,0,0,2	271	149
31431	996,1186,1632,1422	0,3,0,0	1313,1449,1461,1380	0,0,0,0	257	149
31432	879,988,1300,1276	0,4,5,2	1023,1243,1143,1177	3,4,2,3	248	149
31433	731,747,969,957	2,0,2,7	790,1024,927,889	0,3,1,0	298	149
31434	76,71,57,60	0,0,0,0	68,87,96,63	1,0,0,0	298	149
31435	105,85,100,78	1,0,4,0	91,113,112,78	2,1,0,0	298	149
31436	68,67,75,62	0,0,1,0	55,72,69,51	0,0,3,0	195	149
31437	73,71,87,78	0,0,1,0	69,74,67,54	0,1,0,0	239	149
31438	33,29,49,43	0,0,0,0	51,37,33,32	0,0,2,0	242	149
31439	71,70,108,83	0,0,1,0	108,89,90,74	0,0,0,1	281	149
31440	0,5,2,2	0,0,0,0	1,0,0,0	0,0,1,0	252	149
31441	291,361,514,475	0,0,0,0	396,455,427,392	0,0,1,0	241	149
31442	4,0,7,3	0,3,4,5	4,4,4,6	4,0,3,1	297	149
31443	297,337,525,457	0,0,0,2	423,368,346,362	0,0,0,0	298	149
31444	187,190,302,276	0,0,0,4	238,209,197,222	0,0,2,1	298	149
31445	181,184,290,260	0,0,0,2	231,190,181,211	0,0,0,0	298	149
31446	181,187,292,263	0,0,0,1	233,192,184,209	0,0,0,0	298	149
31447	91,100,152,132	0,0,0,4	109,111,124,111	0,0,2,1	267	149
31448	4,1,3,4	0,0,0,2	1,4,1,1	0,0,0,0	267	149
31449	2,2,2,6	0,0,0,1	2,0,2,1	0,0,0,0	267	149
31450	203,252,387,326	7,7,12,16	291,284,285,256	8,19,16,14	267	149
31451	101,132,208,162	1,1,0,0	159,154,146,136	1,0,0,3	267	149
31452	99,133,207,165	1,4,2,3	160,153,149,139	3,2,3,1	267	149
31453	36,66,91,108	0,0,0,2	58,61,57,71	0,0,0,0	298	149
31454	60,61,81,83	0,0,0,1	70,58,79,67	0,0,0,0	298	149
31455	43,73,102,120	1,1,0,0	66,80,71,84	1,0,0,3	298	149
31456	67,68,92,95	1,4,2,3	78,77,93,80	3,2,3,1	298	149
31457	141,188,275,268	4,1,3,3	192,193,192,187	1,4,2,1	298	149
31458	165,183,265,243	2,2,2,6	204,190,214,183	2,3,5,4	298	149
31459	481,474,745,718	0,3,0,0	502,611,601,594	0,1,1,2	298	149
31460	591,593,870,678	0,0,0,0	768,941,775,715	1,0,0,0	294	149
31461	325,423,680,532	12,3,30,10	518,598,568,488	23,23,20,23	234	149
31462	338,400,514,498	0,0,0,0	471,595,414,470	0,0,0,1	248	149
31463	140,136,192,180	0,0,0,0	175,206,182,134	0,0,1,0	270	149
31464	173,198,269,232	1,7,6,1	228,271,253,257	2,0,1,6	245	149
31465	255,290,450,331	0,0,0,0	378,420,390,382	0,0,0,2	298	149
31466	315,348,468,296	0,0,2,0	368,359,469,370	3,2,0,0	298	149
31467	131,120,173,153	0,0,4,0	163,134,141,102	0,0,0,0	214	149
31469	95,85,91,92	0,0,4,0	101,74,104,71	0,0,0,0	225	149
31471	74,69,124,106	0,0,0,0	79,71,108,90	0,1,0,0	226	149
31472	196,134,240,202	0,2,1,2	205,184,180,159	0,0,0,0	226	149
31473	10,5,7,9	157,95,167,143	6,12,11,3	150,146,113,101	298	149
31474	24,19,28,40	157,95,167,143	14,21,30,25	150,146,113,101	194	149
31475	10,5,7,9	0,2,1,2	6,13,10,3	0,0,0,0	194	149
31476	114,167,186,172	0,0,0,0	188,155,113,135	0,1,0,0	234	149
31477	2934,3097,4274,4446	0,0,0,4	3445,3843,3716,2942	1,6,2,0	212	149
31478	4122,4493,6044,6674	0,0,0,0	4679,5428,5139,3887	0,2,0,1	246	149
31479	1800,1977,2788,3142	0,0,0,0	2068,2363,2251,1761	0,1,0,0	246	149
31481	1548,1632,2067,2224	17,27,49,35	1647,1907,1929,1328	22,36,42,29	271	149
31482	1234,1211,1875,1825	0,0,0,0	1517,1526,1532,1288	0,1,0,0	280	149
31483	3571,3739,5174,5364	17,27,49,35	4138,4614,4433,3436	22,36,42,29	280	149
31484	2,8,11,4	0,0,0,0	7,5,4,6	0,1,0,0	298	149
31485	1712,1866,2363,2542	17,27,49,35	1883,2225,2166,1520	22,36,42,29	298	149
31486	33,32,38,63	1874,1897,2839,2849	47,30,27,23	2286,2415,2291,1932	251	149
31487	3,10,12,8	1,0,0,0	6,9,4,5	0,0,0,0	275	149
31488	60,88,102,102	2,2,2,1	62,124,105,97	1,2,4,3	298	149
31489	33,45,56,58	0,0,0,0	33,73,60,62	0,0,1,0	298	149
31490	41,56,67,70	3,0,6,0	39,87,75,71	0,0,2,3	298	149
31491	3,5,4,1	0,0,0,0	2,5,9,4	0,0,1,0	298	149
31492	52,76,90,103	3,0,6,0	75,83,70,73	0,0,2,3	298	149
31493	28,45,46,46	0,0,1,1	33,55,45,36	0,0,0,0	298	149
31494	29,48,48,46	1,2,0,2	34,56,50,37	4,2,0,1	298	149
31495	78,119,134,148	9,13,11,14	107,134,111,106	10,16,15,10	298	149
31496	28,45,46,46	0,0,0,0	33,55,45,36	1,0,0,0	298	149
31497	1,0,1,2	9,13,11,14	0,0,0,0	10,16,15,10	298	149
31498	1,0,0,1	50,74,88,102	0,2,0,0	74,81,66,70	298	149
31499	2,3,3,1	3,0,6,0	5,0,8,2	0,0,2,3	210	149
31500	3,5,3,3	9,13,11,14	9,2,7,3	10,16,15,10	210	149
31501	3,6,5,1	50,74,88,102	6,3,12,3	74,81,66,70	210	149
31502	108,122,136,134	0,0,0,0	128,146,134,124	1,0,0,0	288	149
31503	149,183,213,222	0,0,0,0	192,211,185,184	0,2,0,0	288	149
31504	136,140,246,154	0,0,0,0	145,210,162,127	0,1,0,0	245	149
31505	1,3,9,5	1,0,0,0	1,1,4,6	3,1,0,1	203	149
31506	1,3,9,3	0,0,1,0	1,0,5,3	0,0,0,0	203	149
31507	36,41,56,53	4,0,2,2	40,41,38,51	5,2,1,3	293	149
31508	36,35,52,34	0,0,0,0	52,39,28,50	0,0,1,0	298	149
31509	32,43,70,24	0,1,0,0	41,46,26,48	0,0,0,0	298	149
31510	21,23,38,10	0,0,0,0	26,23,13,25	2,0,0,0	298	149
31511	15,20,13,19	0,0,0,0	18,31,15,14	2,0,0,0	298	149
31512	27,39,45,34	1,0,0,1	33,54,29,37	0,0,1,0	298	149
31513	15,20,45,23	0,0,1,1	30,34,38,13	0,0,0,1	259	149
