IncLevel1	IncLevel2	IncLevelDifference
0.284,0.386,0.451,0.267	0.454,0.458,0.412,0.402	-0.085
0.598,0.626,0.625,0.584	0.713,0.718,0.662,0.66	-0.08
0.387,0.353,0.291,0.325	0.335,0.335,0.331,0.331	0.006
0.117,0.107,0.103,0.111	0.151,0.078,0.062,0.085	0.015
0.52,0.477,0.657,0.47	0.577,0.638,0.593,0.519	-0.051
0.0,NA,0.0,0.396	0.304,NA,NA,0.0	-0.02
0.917,1.0,0.965,0.917	1.0,0.981,1.0,1.0	-0.045
0.12,0.224,0.246,0.143	0.232,0.219,0.271,0.178	-0.042
1.0,1.0,1.0,1.0	1.0,0.925,1.0,0.949	0.032
0.136,0.158,0.119,0.074	0.123,0.239,0.214,0.105	-0.048
0.123,0.252,0.362,0.144	0.148,0.21,0.122,0.193	0.052
0.732,0.758,0.772,0.698	0.896,0.798,0.846,0.804	-0.096
0.068,0.052,0.076,0.037	0.068,0.102,0.071,0.079	-0.022
0.251,0.155,0.263,0.18	0.234,0.228,0.256,0.286	-0.039
0.018,0.016,0.027,0.014	0.032,0.02,0.026,0.027	-0.007
0.986,1.0,0.966,1.0	0.987,1.0,0.978,0.952	0.009
0.02,0.033,0.019,0.015	0.024,0.032,0.042,0.028	-0.01
1.0,0.697,1.0,0.39	1.0,1.0,1.0,1.0	-0.228
0.054,0.0,0.177,0.0	0.061,0.0,0.0,0.0	0.042
0.059,0.0,0.009,0.0	0.011,0.01,0.009,0.019	0.005
0.194,0.198,0.176,0.236	0.219,0.199,0.202,0.265	-0.02
0.0,0.0,0.007,0.003	0.002,0.005,0.004,0.0	-0.0
0.004,0.018,0.019,0.014	0.016,0.023,0.038,0.025	-0.012
0.044,0.124,0.154,0.148	0.079,0.126,0.148,0.145	-0.007
0.023,0.054,0.03,0.007	0.012,0.022,0.042,0.022	0.004
0.083,0.082,0.128,0.05	0.114,0.13,0.146,0.125	-0.043
0.007,0.014,0.028,0.006	0.009,0.035,0.005,0.021	-0.004
0.023,0.018,0.008,0.014	0.025,0.018,0.029,0.027	-0.009
0.033,0.011,0.036,0.031	0.034,0.027,0.04,0.047	-0.009
0.613,0.467,0.578,0.359	0.596,0.613,0.536,0.558	-0.072
0.224,0.27,0.311,0.216	0.32,0.368,0.343,0.36	-0.093
1.0,0.797,1.0,1.0	1.0,0.821,1.0,1.0	-0.006
0.61,0.698,0.535,0.664	0.895,0.865,0.833,0.817	-0.226
0.023,0.025,0.02,0.014	0.023,0.032,0.022,0.023	-0.005
0.065,0.09,0.077,0.053	0.069,0.096,0.079,0.076	-0.009
0.07,0.05,0.106,0.077	0.074,0.105,0.1,0.092	-0.017
0.033,0.037,0.049,0.049	0.018,0.06,0.049,0.045	-0.001
0.017,0.013,0.012,0.015	0.01,0.019,0.016,0.018	-0.002
0.117,0.147,0.17,0.14	0.227,0.2,0.171,0.141	-0.041
1.0,1.0,1.0,0.805	0.928,0.979,0.972,0.919	0.002
1.0,1.0,NA,NA	1.0,1.0,0.524,NA	0.159
0.383,1.0,0.554,1.0	0.573,1.0,0.663,0.42	0.07
0.008,0.011,0.011,0.01	0.014,0.012,0.012,0.013	-0.003
0.015,0.027,0.031,0.019	0.031,0.029,0.027,0.029	-0.006
0.035,0.027,0.039,0.018	0.037,0.038,0.035,0.035	-0.007
0.017,0.014,0.018,0.011	0.019,0.018,0.017,0.018	-0.003
0.785,0.65,0.735,0.656	0.905,0.526,0.78,0.777	-0.041
0.087,0.104,0.088,0.087	0.098,0.093,0.086,0.09	-0.0
0.094,0.058,0.148,0.036	0.11,0.097,0.173,0.134	-0.045
0.036,0.033,0.047,0.024	0.021,0.022,0.053,0.038	0.002
0.062,0.05,0.122,0.039	0.091,0.126,0.07,0.074	-0.022
0.057,0.046,0.047,0.015	0.091,0.062,0.024,0.062	-0.018
0.182,0.168,0.226,0.083	0.23,0.315,0.207,0.288	-0.095
0.138,0.242,0.273,0.082	0.205,0.236,0.183,0.296	-0.046
0.016,0.03,0.094,0.073	0.104,0.084,0.032,0.071	-0.019
0.057,0.0,0.053,0.026	0.02,0.054,0.014,0.024	0.006
0.498,0.574,0.829,0.334	0.816,0.746,0.412,0.746	-0.121
0.057,0.057,0.066,0.052	0.068,0.046,0.064,0.093	-0.01
0.011,0.013,0.015,0.015	0.017,0.018,0.014,0.024	-0.005
0.066,0.036,0.239,0.027	0.045,0.168,0.077,0.119	-0.01
0.0,0.0,NA,0.0	0.257,1.0,NA,1.0	-0.752
0.0,0.0,0.0,0.0	1.0,NA,NA,0.0	-0.5
0.089,0.057,0.17,0.053	0.133,0.143,0.095,0.132	-0.034
0.279,0.392,0.3,0.744	0.566,0.475,0.35,0.272	0.013
0.018,0.038,0.033,0.024	0.041,0.035,0.052,0.032	-0.012
1.0,0.919,1.0,1.0	0.807,1.0,0.374,1.0	0.184
0.069,0.076,0.088,0.054	0.092,0.122,0.089,0.114	-0.032
0.094,0.101,0.115,0.06	0.117,0.126,0.115,0.111	-0.025
0.454,0.571,0.264,0.368	1.0,0.143,0.423,0.499	-0.102
0.667,0.118,0.889,0.8	0.842,0.455,0.7,0.616	-0.035
0.05,0.02,0.077,0.039	0.058,0.078,0.064,0.077	-0.023
0.032,0.058,0.052,0.027	0.035,0.045,0.044,0.047	-0.001
0.016,0.033,0.039,0.026	0.045,0.028,0.029,0.035	-0.006
1.0,0.77,1.0,0.857	1.0,1.0,1.0,0.941	-0.079
1.0,1.0,0.751,0.817	1.0,0.938,0.953,0.848	-0.043
0.028,0.025,0.036,0.028	0.025,0.035,0.025,0.031	0.0
1.0,0.896,1.0,0.954	0.949,0.936,0.908,0.975	0.02
0.085,0.072,0.114,0.04	0.086,0.1,0.065,0.085	-0.006
0.135,0.181,0.206,0.111	0.248,0.276,0.252,0.223	-0.091
0.132,0.098,0.124,0.062	0.162,0.156,0.121,0.121	-0.036
0.594,0.634,0.685,1.0	0.921,0.708,0.68,0.826	-0.055
