IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
275,260,442,328	3,2,4,7	312,356,341,294	10,7,1,4	298	149
74,79,139,104	3,2,4,7	106,130,113,101	10,7,1,4	231	149
2,3,8,1	39,46,54,52	13,5,2,1	55,55,42,35	208	149
1,3,4,3	0,0,0,0	4,5,7,1	0,1,0,0	176	149
1,0,0,0	0,0,0,0	0,0,0,0	0,0,1,0	168	149
0,9,6,9	68,84,115,100	5,11,2,10	105,84,75,109	182	149
223,242,405,321	0,0,0,3	324,433,356,354	0,0,1,0	298	149
56,31,53,51	9,4,5,6	47,33,59,33	2,4,4,6	152	149
11,13,16,11	4,2,7,6	6,13,18,12	0,2,1,1	152	149
513,494,772,673	6,3,9,9	552,675,540,563	15,9,5,10	298	149
6,3,5,12	0,0,0,2	1,4,8,4	0,0,1,0	165	149
0,0,0,1	58,48,79,80	1,4,1,1	45,93,70,39	204	149
34,29,54,37	4,0,0,0	34,42,38,19	1,1,1,0	163	149
4,6,8,1	0,0,1,0	5,6,11,4	1,0,1,0	153	149
1,1,0,3	1,2,3,0	2,2,0,5	0,2,2,1	265	149
715,838,1062,1045	17,26,18,28	856,944,880,794	25,17,13,23	298	149
1,1,0,3	8,16,13,14	0,2,1,1	17,7,6,8	152	149
833,1036,1323,1234	126,89,154,172	1023,1194,1108,1037	161,146,105,110	154	149
38,64,60,84	2,9,15,4	55,79,52,53	5,9,0,2	154	149
1140,1357,1810,1601	1,0,0,0	1412,1663,1447,1301	0,0,1,1	298	149
668,677,981,1014	2,1,1,0	813,950,886,787	1,0,0,0	298	149
22,36,68,45	66,98,163,83	51,74,46,49	123,146,150,99	269	149
24,22,30,27	48,51,50,59	20,17,17,14	38,37,54,40	176	149
2,0,0,0	33,55,62,60	0,0,0,0	54,49,56,64	170	149
44,40,64,57	9,10,18,17	56,44,47,48	18,11,17,7	152	149
30,24,40,33	116,96,167,162	54,24,27,33	145,120,102,108	185	149
60,58,48,55	24,23,36,47	68,78,58,63	31,27,28,29	152	149
13,12,11,6	1,0,0,0	17,16,4,7	1,0,3,0	155	149
0,0,0,0	78,60,87,66	0,0,0,1	95,97,88,81	167	149
84,94,124,93	1,1,8,4	97,102,125,99	3,3,0,1	165	149
3,6,3,5	419,422,684,583	3,2,3,2	536,589,601,488	168	149
479,514,745,635	0,0,1,0	576,630,647,511	1,0,1,0	176	149
14,16,11,14	0,0,0,0	10,19,20,12	1,0,0,0	211	149
1,2,1,1	8,1,7,11	1,1,0,0	3,10,8,8	247	149
0,1,1,2	1,1,3,6	1,0,1,0	3,0,6,6	193	149
0,1,0,1	1,1,3,6	0,0,0,0	3,0,6,6	155	149
50,50,78,70	141,148,229,183	58,66,65,53	183,211,172,182	152	149
1,13,9,12	0,0,0,0	13,11,2,8	0,0,1,0	211	149
376,390,644,453	3,4,2,6	510,676,572,501	1,8,13,7	228	149
3,2,0,0	9,6,22,14	2,1,1,0	8,19,11,13	165	149
8,25,13,15	3,0,1,1	21,10,13,16	1,0,0,1	154	149
106,128,177,197	1,9,7,7	167,152,150,117	6,2,7,7	156	149
127,162,192,196	44,58,49,74	202,176,190,141	43,61,50,42	156	149
16,8,14,11	2,1,4,3	10,7,8,9	0,2,3,3	249	149
24,56,68,50	0,1,0,1	43,60,70,71	1,2,2,0	176	149
0,3,3,6	66,66,114,105	2,7,2,0	77,98,80,90	152	149
8,15,17,17	111,109,205,176	8,22,22,16	153,204,136,141	152	149
350,424,528,592	1,2,15,11	426,580,493,474	12,13,7,3	258	149
514,491,809,748	4,5,12,5	668,745,676,661	0,13,10,4	298	149
229,287,315,329	0,1,0,0	316,328,325,277	0,0,0,0	298	149
1,1,1,0	205,216,294,241	0,1,1,0	245,278,254,226	174	149
9,17,34,12	76,89,94,89	22,19,33,20	107,73,105,79	298	149
35,42,54,42	5,9,15,13	33,70,57,52	9,13,5,20	152	149
0,1,1,0	0,0,0,0	1,0,0,0	0,1,0,0	161	149
0,0,2,0	3,7,9,3	1,3,1,0	5,7,4,7	161	149
37,46,75,88	76,131,177,134	59,52,53,46	108,149,100,95	173	149
12,11,29,11	1,0,0,0	17,26,30,18	0,0,0,0	209	149
0,0,1,0	2,0,0,0	0,0,0,0	1,1,1,0	239	149
7,13,17,6	0,0,0,0	3,10,24,6	3,0,1,4	298	149
3,5,6,1	0,1,0,0	12,6,8,8	0,0,0,0	262	149
3,1,9,4	106,110,120,126	7,4,1,7	101,125,90,97	298	149
0,0,3,2	6,3,1,3	0,2,3,1	3,0,2,1	155	149
0,1,5,3	513,460,748,601	2,3,0,3	671,704,661,638	182	149
46,59,78,63	17,23,29,16	69,58,69,67	23,39,33,26	152	149
2,0,0,0	0,0,0,0	0,0,1,0	0,1,1,0	152	149
2,0,0,0	0,0,0,0	0,0,3,0	0,0,1,0	152	149
43,47,64,75	8,6,4,19	46,74,88,64	11,13,3,19	240	149
27,23,33,28	14,13,11,18	24,49,41,30	13,17,16,15	152	149
84,100,133,90	0,1,0,2	91,108,127,93	0,0,0,0	265	149
3,0,3,4	215,217,374,262	1,9,6,5	328,326,361,346	167	149
130,139,229,150	10,17,24,16	186,228,180,188	15,24,28,16	152	149
150,170,216,164	8,2,17,2	210,231,198,247	7,9,8,15	185	149
0,0,0,0	4,13,3,4	1,0,0,0	3,1,2,2	155	149
9,10,17,11	0,0,2,0	13,9,18,8	0,0,0,0	298	149
187,241,296,277	6,2,5,6	248,296,234,221	1,8,10,10	161	149
413,445,614,589	4,19,13,7	446,492,509,516	13,7,15,9	154	149
216,259,329,270	36,21,45,40	283,268,242,256	27,35,55,28	152	149
13,23,29,20	0,2,0,4	16,31,23,19	0,0,3,0	240	149
0,1,2,0	43,35,52,43	1,0,2,3	40,50,59,39	195	149
2,4,5,1	231,238,343,311	0,8,1,1	225,320,288,262	183	149
149,141,218,194	15,15,25,14	177,231,194,154	23,18,48,17	177	149
131,136,232,224	4,4,3,2	181,214,199,176	1,1,3,2	185	149
19,22,30,28	32,51,66,62	27,43,27,24	38,47,59,42	183	149
134,171,222,167	1,0,2,0	174,191,195,189	0,2,2,0	272	149
174,201,325,222	5,7,17,14	279,278,307,243	11,10,9,7	272	149
22,27,31,24	1,0,0,0	26,36,32,22	2,0,0,0	221	149
54,28,56,52	220,241,316,322	55,65,62,50	299,274,306,269	182	149
3,1,1,0	3,3,0,3	0,3,4,5	2,2,4,5	256	149
5,15,43,24	318,383,650,431	28,44,61,26	409,558,493,525	266	149
426,376,623,478	3,5,23,11	493,558,563,464	20,13,10,6	160	149
192,194,261,264	2,7,2,2	212,235,231,174	3,2,1,5	154	149
122,121,199,131	7,8,20,12	128,149,136,134	14,17,12,14	199	149
101,135,164,140	0,1,0,0	103,141,130,113	0,0,0,0	227	149
350,379,597,401	48,58,92,72	435,552,484,458	81,83,83,89	173	149
90,148,143,121	13,18,24,21	105,134,169,127	27,20,28,19	298	149
63,110,114,87	0,0,0,1	78,103,133,97	0,2,0,0	298	149
41,63,63,56	46,27,60,46	32,48,59,40	46,58,78,50	176	149
479,506,690,629	5,6,6,15	526,654,626,522	18,10,8,8	153	149
508,553,720,660	5,0,7,7	534,677,662,597	5,6,3,5	298	149
30,54,84,60	5,5,16,15	58,71,48,61	0,11,9,18	158	149
3,0,0,0	4,1,3,3	6,3,2,2	6,3,1,4	184	149
0,1,4,0	1,1,0,0	0,0,0,0	0,2,0,0	298	149
623,812,1145,1023	3,3,5,4	802,1070,945,908	2,3,8,5	252	149
4,3,2,2	245,283,421,410	3,5,0,2	304,464,434,355	247	149
353,390,542,494	31,38,61,49	351,475,411,370	34,62,35,31	152	149
1,3,8,11	1,3,0,0	1,3,2,10	0,1,0,3	152	149
3,3,19,5	1229,1241,1804,1770	14,9,4,8	1440,1664,1379,1284	199	149
84,88,156,128	1,0,0,1	111,158,149,127	0,3,5,1	298	149
0,0,2,1	18,44,46,30	4,3,5,4	34,54,51,42	160	149
2,2,5,1	279,343,445,411	6,9,10,7	338,416,364,375	174	149
20,46,49,30	279,343,445,411	36,60,56,45	338,416,364,375	163	149
0,0,0,0	2,0,1,2	0,2,0,0	0,2,2,5	150	149
1,0,0,0	0,1,5,12	1,3,2,6	2,6,7,4	165	149
391,442,577,597	0,0,1,0	479,524,483,417	0,0,1,0	179	149
585,618,877,863	0,1,1,1	683,774,614,623	1,3,1,3	268	149
171,247,302,268	2,4,3,1	230,275,294,245	4,5,3,1	213	149
115,200,175,175	0,1,0,2	158,177,168,145	0,0,0,0	169	149
257,247,400,311	0,0,2,0	291,340,329,329	0,0,1,0	298	149
275,264,351,345	2,6,3,4	281,352,363,292	14,7,1,10	175	149
90,100,124,146	2,0,1,5	127,130,118,97	0,3,0,2	153	149
477,499,693,603	2,0,4,1	509,642,684,505	2,0,1,1	298	149
355,379,630,473	0,0,0,0	488,648,551,572	0,0,0,4	298	149
447,387,662,545	7,7,18,9	407,522,488,467	11,12,10,5	186	149
284,250,433,404	3,10,1,3	272,352,340,320	8,9,2,3	155	149
32,38,53,42	0,0,1,1	31,45,57,26	2,1,1,0	298	149
54,39,56,46	10,1,8,5	57,58,59,55	8,17,7,4	152	149
13,26,32,32	3,2,2,1	22,33,21,13	1,1,2,2	153	149
0,0,2,0	0,0,0,0	1,0,4,1	0,2,0,4	298	149
5,5,7,4	43,60,77,91	3,3,5,6	47,93,78,51	298	149
49,58,92,85	8,10,6,14	65,124,96,87	12,9,9,5	152	149
66,103,100,90	1,1,0,0	85,84,94,91	3,1,0,1	152	149
30,32,47,44	0,0,1,0	30,22,15,34	0,0,0,2	158	149
6,2,5,4	46,47,83,50	1,8,4,4	64,72,48,45	207	149
461,411,456,422	0,0,0,33	423,413,476,348	0,51,0,19	156	149
14,12,31,12	136,207,285,179	22,30,12,28	168,211,181,213	246	149
4,3,9,10	3,2,3,2	11,4,5,3	2,0,8,2	154	149
30,45,97,67	0,1,6,4	69,67,63,71	1,3,2,1	190	149
13,11,11,12	63,53,94,66	12,16,12,15	71,76,53,60	204	149
48,70,103,68	0,0,0,0	108,112,99,88	0,0,1,0	237	149
7,10,12,17	24,34,40,41	10,13,16,11	37,30,30,23	152	149
171,158,242,228	184,202,293,301	163,199,189,155	212,292,245,211	152	149
265,250,381,303	2,0,4,0	320,374,322,255	2,0,1,0	298	149
8,2,9,5	183,198,261,264	15,11,18,10	268,248,248,244	169	149
103,137,184,110	5,8,4,4	149,184,158,110	12,12,4,2	152	149
7,4,20,11	0,0,0,0	13,18,24,11	1,3,0,2	158	149
946,1005,1467,1364	36,51,73,64	1167,1395,1275,1198	45,56,56,51	152	149
8,8,17,5	950,957,1609,1310	16,13,8,9	1110,1327,1246,1105	179	149
0,0,0,1	1,0,2,2	1,0,0,1	0,0,0,0	153	149
4,1,7,1	35,42,40,52	2,5,6,1	38,47,48,49	152	149
0,1,3,2	0,1,0,0	0,2,4,1	0,0,1,0	154	149
80,92,113,99	10,8,18,4	101,107,108,143	7,14,9,11	176	149
3,5,5,3	9,8,6,5	5,4,4,5	8,3,5,7	255	149
215,233,322,221	5,2,11,3	322,296,294,213	7,3,2,4	288	149
60,34,85,61	5,6,6,6	69,73,62,65	11,1,4,2	179	149
21,3,9,8	26,40,56,35	2,12,8,5	47,35,30,49	213	149
17,4,21,8	114,96,155,131	12,18,13,8	144,129,123,116	213	149
1,3,2,0	242,251,309,333	2,0,5,0	323,355,254,250	284	149
46,76,80,86	16,4,24,21	68,76,81,87	21,9,30,25	152	149
0,2,6,0	3,2,5,2	1,0,0,2	1,2,0,7	158	149
0,1,2,1	49,63,75,37	0,1,1,1	52,56,53,44	161	149
16,9,5,5	9,7,22,14	17,13,9,7	5,21,16,23	152	149
5,1,2,5	0,1,4,0	3,6,2,4	1,3,3,3	152	149
21,30,47,24	56,68,89,79	28,40,15,23	95,76,113,79	185	149
302,350,466,489	2,4,1,1	399,401,378,329	4,4,2,2	154	149
5,7,19,4	559,622,658,653	23,13,8,17	745,569,635,523	202	149
19,15,26,33	0,2,1,0	16,16,20,28	2,0,2,1	187	149
43,37,52,63	0,2,1,0	38,46,40,59	2,0,2,1	230	149
30,25,43,54	0,1,0,5	47,56,56,34	5,2,0,0	164	149
746,798,1278,1225	111,118,187,149	979,1248,1020,938	128,118,134,115	164	149
43,43,85,67	921,955,1507,1368	47,57,52,57	1052,1346,1183,1203	173	149
71,58,109,102	71,70,103,80	77,71,97,73	89,104,97,71	224	149
166,251,284,266	6,11,8,15	212,241,221,199	7,13,11,7	151	149
104,119,196,159	502,544,831,622	159,242,214,176	766,1032,990,740	152	149
3,3,9,4	0,2,3,8	5,17,9,4	0,3,6,3	152	149
36,54,67,36	0,0,2,5	60,60,78,75	3,7,2,9	153	149
102,127,206,97	0,0,0,0	144,158,203,128	6,0,0,0	298	149
110,100,179,137	9,12,32,24	154,176,162,148	31,21,28,21	225	149
143,186,283,208	0,0,1,0	215,253,284,226	0,0,0,3	298	149
149,194,298,211	0,0,0,1	218,261,290,236	0,0,4,1	298	149
11,16,27,11	3,3,3,7	11,31,24,19	11,9,5,5	161	149
23,29,50,23	7,3,6,8	24,49,40,34	4,9,5,7	178	149
25,37,62,29	77,70,146,109	36,72,55,46	88,104,108,78	187	149
15,16,26,19	7,3,6,8	24,27,21,20	4,9,5,7	166	149
17,24,38,25	77,70,146,109	36,50,36,32	88,104,108,78	175	149
9,11,18,14	77,70,146,109	16,32,20,19	88,104,108,78	158	149
30,56,78,30	0,1,0,0	72,92,89,91	1,0,0,0	298	149
10,16,16,15	5,2,2,1	17,18,18,19	0,2,2,5	153	149
35,26,47,25	0,1,0,0	31,17,30,17	0,0,0,0	191	149
2,1,0,1	52,45,61,47	2,5,1,0	63,75,61,63	178	149
12,16,34,11	84,100,230,84	15,24,11,14	187,242,210,169	161	149
139,108,200,204	1,1,2,0	118,191,169,144	2,2,0,0	260	149
108,95,173,83	2,0,8,5	151,207,163,158	7,6,4,5	185	149
203,235,360,289	5,0,3,1	243,307,297,279	4,4,0,0	243	149
18,23,27,20	73,101,99,123	27,36,19,24	116,121,110,103	164	149
130,157,208,133	0,0,0,2	137,147,191,174	0,0,0,0	212	149
305,384,458,336	8,23,31,13	405,409,441,369	21,21,22,18	212	149
177,203,264,191	58,50,99,67	203,252,234,248	62,72,83,69	155	149
10,16,37,24	0,0,2,1	25,23,26,21	4,0,0,0	152	149
304,320,465,513	1,1,1,2	365,414,403,290	0,0,3,0	298	149
60,70,85,79	0,0,0,0	68,121,83,73	2,0,0,1	298	149
733,713,987,932	0,0,0,1	883,784,783,598	1,1,1,0	152	149
2690,2645,3591,3801	0,0,0,1	3124,2924,3028,2308	1,1,1,0	155	149
2593,2559,3503,3696	636,627,899,827	3042,2841,2955,2245	801,701,710,535	152	149
37,48,69,59	115,135,170,143	45,70,59,38	115,173,128,162	152	149
4,2,1,0	1,1,1,0	5,2,6,0	0,1,2,0	152	149
18,27,21,16	1,3,5,0	15,22,31,15	1,3,3,0	240	149
61,70,88,81	0,1,0,1	82,59,78,76	0,1,0,0	190	149
1,1,1,1	30,28,40,60	1,1,4,1	53,35,30,44	170	149
0,2,5,1	4,2,2,1	1,4,4,2	2,5,3,2	193	149
2,5,3,2	3,0,3,2	4,6,6,2	3,5,2,7	168	149
3014,3107,4212,4369	0,0,0,1	3577,4029,3578,2976	0,0,0,0	204	149
146,162,211,227	4,5,6,6	198,169,194,146	3,6,6,4	205	149
52,65,63,61	24,22,26,27	47,48,46,75	28,20,30,18	218	149
3,0,0,1	8,15,28,14	2,1,1,2	19,18,20,9	152	149
9,20,17,18	1,3,1,0	24,9,14,20	1,0,3,0	175	149
20,16,39,16	43,52,36,27	34,60,67,44	37,44,39,38	298	149
35,43,34,46	16,7,15,14	47,49,52,27	14,13,15,15	152	149
3,2,2,4	32,58,64,66	2,4,0,5	37,75,57,45	203	149
7,4,11,7	75,66,110,70	5,9,8,9	77,98,85,81	269	149
4,5,11,5	127,146,160,192	4,2,8,5	138,166,164,113	164	149
517,551,765,819	0,0,0,0	652,672,632,512	0,1,3,0	176	149
9,20,37,37	1,3,2,4	30,33,24,31	9,3,9,2	193	149
49,72,77,61	4,6,7,0	59,56,74,53	7,5,13,1	152	149
8,4,19,8	416,392,624,556	10,13,8,4	541,551,471,465	184	149
29,32,54,57	70,51,88,77	29,45,31,32	79,69,80,57	223	149
438,467,693,780	6,5,3,20	571,686,480,561	18,22,11,10	188	149
0,0,0,0	1,7,7,6	0,0,1,0	4,6,4,2	204	149
7,8,9,2	1,1,2,1	13,14,16,20	0,1,0,0	277	149
0,0,1,0	1,1,0,0	0,4,0,0	3,1,1,0	153	149
80,92,158,70	0,0,1,0	111,175,164,112	0,0,0,0	298	149
180,213,352,233	13,18,21,23	281,311,237,302	35,33,19,35	198	149
155,187,272,153	14,6,20,15	267,261,235,277	24,19,18,16	200	149
1,1,0,1	69,84,155,111	0,3,0,1	77,109,109,102	161	149
19,25,27,12	60,64,112,84	21,37,24,17	113,83,110,86	277	149
3,2,4,13	103,70,104,85	10,22,3,3	99,103,90,106	169	149
0,3,3,2	0,0,0,0	7,3,1,1	1,0,0,0	271	149
0,2,2,1	0,0,0,0	0,0,0,1	0,0,0,1	212	149
346,319,446,497	131,155,249,208	357,459,383,340	185,216,191,169	245	149
5,7,6,4	2,2,5,2	3,4,4,7	0,5,1,2	195	149
2,4,4,7	28,23,44,61	0,2,3,6	36,48,30,19	298	149
1,6,12,6	119,116,154,134	5,15,5,8	136,148,118,109	152	149
38,62,54,54	0,0,5,3	81,84,55,72	0,0,0,0	152	149
2,5,1,7	63,70,105,85	3,1,1,1	67,88,71,88	207	149
17,12,20,20	97,126,156,134	16,22,10,30	109,135,166,111	167	149
129,125,172,186	1,1,1,2	153,137,153,136	0,0,2,4	180	149
36,26,58,46	5,2,3,2	32,29,24,28	8,6,1,6	154	149
61,93,132,101	1,0,0,3	134,125,75,87	2,0,2,1	159	149
134,144,204,152	3,7,7,3	202,173,157,162	3,5,9,0	298	149
158,161,242,184	1,1,1,2	192,215,155,185	4,1,1,4	182	149
194,188,288,225	1,2,9,4	221,253,200,232	0,6,6,1	214	149
37,28,47,43	1,2,9,4	33,39,46,51	0,6,6,1	181	149
71,106,147,115	4,3,5,4	83,140,117,103	6,6,3,7	175	149
47,88,97,78	0,3,3,0	80,95,101,74	1,4,1,1	153	149
20,27,39,44	59,49,74,55	49,38,24,23	70,79,79,60	298	149
6,18,20,20	1,0,4,1	29,22,14,12	1,1,0,3	298	149
9,3,11,11	27,35,45,45	7,11,7,8	20,43,35,43	263	149
77,61,103,58	1,11,9,10	80,117,125,94	12,7,11,0	180	149
112,173,227,176	21,22,21,18	139,170,215,193	12,25,27,24	152	149
0,0,2,3	5,5,6,1	3,2,1,0	4,6,9,19	191	149
5,21,35,10	5,4,5,7	16,23,31,18	2,4,11,7	152	149
50,37,40,43	1,0,1,0	79,62,39,61	4,2,1,0	175	149
92,118,162,144	23,25,55,45	128,191,166,123	45,56,56,42	184	149
98,122,201,94	0,9,14,9	151,165,120,126	6,4,11,8	298	149
109,94,168,127	1,1,1,0	114,149,124,124	0,2,0,1	196	149
5,0,8,3	135,148,198,186	5,9,9,8	198,147,152,120	197	149
142,181,284,216	0,1,1,1	225,274,254,206	2,0,0,4	206	149
216,185,234,302	164,143,150,174	223,228,236,245	159,175,138,119	250	149
135,173,216,125	4,1,11,6	173,241,193,172	12,18,5,8	203	149
2,6,11,2	40,54,69,53	2,4,9,4	65,54,57,53	185	149
15,9,33,18	5,1,3,4	10,16,15,10	5,14,2,2	153	149
4,2,1,4	25,19,21,37	5,7,4,1	26,22,25,21	165	149
6,6,2,3	157,147,203,163	4,3,7,6	158,185,181,136	283	149
6,2,22,9	153,199,246,211	5,11,9,6	203,253,250,164	247	149
3,1,4,3	170,134,214,174	1,2,0,2	135,149,235,166	168	149
1,2,2,2	0,0,0,0	2,6,1,0	0,0,0,2	156	149
0,2,0,0	2,0,0,0	0,0,0,0	0,0,2,1	154	149
0,2,0,3	1,1,0,7	0,0,0,0	7,9,6,10	182	149
2,0,0,3	1,1,0,7	0,0,2,1	7,9,6,10	177	149
0,0,0,0	1,1,2,0	0,1,1,0	0,1,1,6	156	149
0,2,1,0	1,2,4,7	0,1,1,1	10,12,6,13	196	149
1,3,3,0	1,2,4,7	0,1,1,7	10,12,6,13	189	149
12,13,40,20	0,0,1,0	24,30,29,19	0,0,0,0	298	149
17,19,18,16	1,2,5,3	23,16,18,26	3,6,1,6	152	149
40,53,93,101	3,6,7,6	74,96,71,83	2,4,6,5	298	149
0,0,3,1	8,14,9,6	0,2,1,0	13,8,9,8	165	149
26,24,58,34	110,110,150,180	47,53,37,44	120,167,136,110	248	149
25,23,45,39	68,59,111,81	39,45,37,45	57,89,98,63	161	149
211,224,310,320	2677,2878,4022,3929	257,295,300,279	3242,3857,3688,3258	161	149
0,0,0,0	1,1,0,0	1,0,0,0	0,0,1,0	164	149
1,0,0,4	1,1,1,1	0,1,0,3	0,0,0,0	225	149
12,10,22,8	153,162,264,229	20,19,8,16	228,256,195,195	298	149
287,262,388,326	2,4,11,4	338,329,339,285	9,11,8,5	298	149
511,499,716,700	8,2,4,5	530,547,479,510	1,4,1,4	203	149
30,35,47,33	2,0,2,3	32,55,41,31	4,1,0,2	164	149
0,1,2,3	39,49,69,45	2,4,3,0	48,58,48,37	219	149
23,24,57,33	0,0,7,4	48,49,37,49	1,5,0,0	153	149
183,211,298,271	2,0,1,2	245,284,232,208	2,1,2,2	167	149
523,616,883,843	177,179,238,245	693,808,747,690	213,203,196,207	298	149
93,82,108,95	4,3,4,1	100,90,116,90	2,0,1,1	185	149
1,0,6,3	111,104,157,166	1,3,4,2	130,155,118,155	221	149
315,323,435,405	0,2,0,0	400,410,394,316	0,0,0,1	153	149
376,487,553,614	0,1,1,6	390,506,538,426	1,0,0,0	158	149
9,16,6,10	2,3,6,6	7,6,3,6	2,3,5,0	152	149
324,355,439,459	11,17,25,12	347,402,417,349	16,24,9,23	218	149
13,2,11,9	188,212,303,316	16,14,10,5	274,316,269,203	181	149
2,5,16,8	294,315,462,396	5,11,7,3	344,438,411,321	167	149
25,36,39,38	92,102,125,101	32,38,47,40	115,137,127,120	169	149
107,112,158,127	92,102,125,101	151,151,143,121	115,137,127,120	189	149
38,31,58,43	92,102,125,101	49,63,65,44	115,137,127,120	204	149
87,95,135,101	5,19,16,12	125,125,112,93	6,12,16,12	169	149
18,14,35,17	5,19,16,12	23,37,34,16	6,12,16,12	184	149
4,8,20,10	73,89,120,94	12,19,24,4	114,107,102,81	164	149
4,10,25,14	66,64,72,84	6,9,12,11	75,96,89,38	164	149
1,0,2,0	167,202,284,216	1,0,2,0	209,239,296,209	164	149
0,3,4,2	0,0,3,2	1,4,2,2	0,0,5,0	152	149
1,4,5,2	1,0,2,0	8,9,2,6	4,0,4,2	153	149
14,12,14,8	1,0,2,0	11,13,15,8	4,0,4,2	169	149
14,12,14,8	1,4,5,2	11,13,15,8	8,9,2,6	165	149
16,12,21,17	8,4,8,3	30,12,16,22	6,3,2,5	153	149
3,3,3,6	211,187,248,324	3,2,1,3	228,245,201,219	162	149
0,0,0,0	0,3,1,7	0,2,0,0	0,3,4,5	167	149
1,0,0,3	129,95,220,164	0,0,1,1	125,170,104,139	197	149
21,15,19,19	36,36,51,39	16,16,34,25	60,42,47,63	152	149
0,0,2,0	1,0,0,0	1,1,2,0	0,1,0,1	152	149
476,486,743,695	1,0,3,0	604,623,554,514	0,1,1,0	233	149
36,62,75,31	0,1,0,0	63,62,42,49	0,0,0,0	298	149
7,4,16,6	0,0,0,0	8,15,6,4	1,1,1,0	152	149
49,43,76,81	136,136,213,184	66,44,43,51	182,196,134,168	152	149
503,479,636,602	7,6,5,6	597,617,588,535	8,7,8,1	223	149
1,1,5,4	0,0,2,0	1,0,5,5	1,2,9,4	152	149
346,378,664,596	1,0,2,1	498,510,460,494	2,0,0,1	186	149
283,261,466,423	2,2,3,4	294,331,362,353	2,2,2,2	179	149
26,22,54,31	179,165,288,235	32,42,28,33	204,223,209,197	152	149
29,59,52,51	11,7,17,11	27,56,60,40	16,24,22,18	165	149
57,68,96,79	38,53,59,65	65,88,68,67	67,50,46,61	152	149
12,13,7,10	1,3,1,1	4,12,5,6	0,8,1,1	152	149
38,30,76,42	0,0,0,1	41,26,33,43	0,2,0,0	203	149
53,52,71,59	1,1,2,1	69,61,84,63	0,0,3,0	196	149
84,83,138,94	1,1,2,1	120,116,139,108	0,0,3,0	216	149
32,32,70,38	1,1,3,3	58,63,62,47	7,8,7,2	169	149
103,111,141,112	4,3,9,6	135,146,168,134	9,8,11,10	216	149
1,1,10,11	13,12,20,27	15,11,10,6	10,19,22,15	161	149
5,4,9,6	0,0,0,0	10,9,6,15	0,0,2,0	153	149
104,101,163,132	100,94,147,123	112,115,154,98	81,143,118,110	152	149
1,2,0,0	1,0,1,0	0,0,2,0	0,0,0,1	152	149
1,3,1,0	0,0,0,0	2,0,2,0	0,1,0,0	152	149
354,351,626,391	5,1,2,6	499,697,651,447	0,2,1,2	298	149
0,0,0,1	44,76,104,95	1,0,1,1	81,74,81,62	151	149
0,0,0,0	1,0,0,0	0,1,0,1	0,0,0,0	152	149
95,70,153,116	7,8,20,12	111,144,114,134	15,16,15,10	152	149
4,0,1,2	0,0,0,1	1,3,2,0	0,0,1,0	163	149
14,18,18,14	7,3,6,7	21,20,20,15	2,4,3,6	163	149
6,6,3,0	3,0,4,0	1,4,3,3	1,0,2,1	163	149
32,23,30,36	315,367,528,430	22,17,28,26	402,477,488,410	176	149
2,2,5,4	224,277,391,283	7,5,13,3	320,402,314,284	298	149
17,29,26,17	1,0,1,0	50,19,26,19	1,1,1,1	152	149
10,8,9,12	2,0,3,0	17,20,15,7	0,0,0,0	152	149
3,9,22,6	588,639,886,802	14,5,16,8	703,758,722,725	298	149
1,6,17,3	16,19,36,29	3,7,5,6	46,22,44,19	178	149
6,2,10,0	0,1,0,0	0,7,10,1	0,0,1,0	152	149
41,43,66,56	0,1,0,5	38,51,43,51	3,5,3,3	152	149
35,45,49,58	9,20,16,14	59,70,83,63	9,11,3,7	152	149
271,260,419,322	2,9,4,6	303,342,327,318	8,9,16,14	196	149
0,0,1,0	149,173,257,257	2,2,1,0	253,288,282,207	171	149
4,8,1,3	0,0,0,0	4,5,2,0	0,1,0,0	155	149
67,69,108,73	16,5,18,22	78,75,82,102	17,9,29,18	249	149
258,270,385,313	19,38,38,27	364,407,337,292	48,48,32,37	215	149
3,2,5,6	0,0,0,0	3,9,3,3	4,0,2,3	152	149
176,208,311,194	1,1,1,2	172,219,228,171	2,3,0,1	193	149
30,35,48,46	12,3,21,15	32,37,38,47	4,21,16,10	254	149
1,0,0,0	13,24,35,39	0,1,0,0	29,28,28,27	150	149
154,137,248,159	37,45,64,66	181,217,218,190	68,80,68,55	152	149
8,11,16,15	163,186,268,207	12,19,13,12	206,267,258,237	202	149
229,268,322,322	13,10,19,8	275,384,291,302	13,17,16,13	298	149
1,2,3,5	500,589,889,733	1,7,0,8	634,656,657,624	152	149
691,685,1039,955	17,5,3,4	757,878,780,753	2,7,0,14	198	149
3,3,17,3	11,12,12,22	1,5,11,3	15,10,3,9	152	149
520,664,673,545	22,31,40,34	758,693,686,668	17,21,20,24	176	149
10,10,20,19	0,0,0,2	30,17,12,20	0,0,0,0	298	149
0,2,0,1	83,112,154,131	1,1,2,1	125,125,133,119	164	149
0,1,0,0	0,0,0,0	2,0,0,0	0,1,0,1	152	149
316,361,546,509	2,3,7,12	357,485,391,363	5,9,10,6	161	149
8,7,9,14	2,3,3,3	9,13,19,9	1,3,3,3	152	149
22,27,30,31	28,61,81,30	40,31,48,20	69,81,69,67	298	149
